Country Name,Capitol City,Population,GDP,Area,Happiness Index
Kenya,Nairobi,53771296,1.01E+11,580367,4.487
Mauritius,Port Louis,1271768,10920606198,2040,5.902
Canada,Ottawa,37742154,1.65E+12,9984670,6.961
Iran,Tehran,83992949,2.03E+11,1648195,4.876
Myanmar,Nay Pyi Taw,54409800,79852046611,676578,4.372
Ghana,Accra,31072940,68532281806,238533,4.605
United States,Washington,331002651,2.10E+13,9372610,6.894
Gabon,Libreville,2225734,15316826192,267668,5.035
Lithuania,Vilnius,2722289,56546957475,65300,6.763
Germany,Berlin,83783942,3.85E+12,357114,6.892
Cyprus,Nicosia,1207359,24612646488,9251,6.13
France,Paris,65273511,2.63E+12,551695,6.661
Algeria,Algiers,43851044,1.45E+11,2381741,5.329
Chile,Santiago,19116201,2.53E+11,756102,6.334
Australia,Canberra,25499884,1.33E+12,7692024,7.095
Czech Republic,Prague,10708981,2.45E+11,78865,6.845
Nicaragua,Managua,6624554,12621505383,130373,6.259
Madagascar,Antananarivo,27691018,13056079982,587041,4.019
Togo,Lome,8278724,7574636979,56785,4.137
Mali,Bamako,20250833,17465392916,1240192,4.198
Malta,Valletta,441543,14647384608,316,6.3
Liberia,Monrovia,5057681,3201187800,111369,4.042
Jordan,Amman,10203134,43697659296,89342,4.12
Tajikistan,Dushanbe,9537645,8194150302,143100,5.33
Albania,Tirana,2877797,14887629268,28748,5.277
Denmark,Copenhagen,5792202,3.56E+11,43094,7.586
Greece,Athens,10423054,1.89E+11,131990,5.931
Indonesia,Jakarta,273523615,1.06E+12,1904569,5.277
Finland,Helsinki,5540720,2.70E+11,338424,7.804
Israel,Jerusalem,8655535,4.07E+11,20770,7.473
United Kingdom,London,67886011,2.76E+12,242900,6.796
Bolivia,Sucre,11673021,36572764863,1098581,5.684
Vietnam,Hanoi,97338579,2.71E+11,331212,5.763
Bangladesh,Dhaka,164689383,3.23E+11,147570,4.282
Chad,N'Djamena,16425864,10829076802,1284000,4.397
Portugal,Lisbon,10196709,2.29E+11,92090,5.968
Egypt,Cairo,102334404,3.65E+11,1002450,4.17
Philippines,Manila,109581078,3.61E+11,342353,5.523
Sri Lanka,Colombo,21413249,80676681934,65610,4.442
Afghanistan,Kabul,38928346,20116137326,652230,1.859
Montenegro,Podgorica,628066,4769860741,13812,5.722
Armenia,Yerevan,2963243,12641209802,29743,5.342
Bosnia and Herzegovina,Sarajevo,3280819,19946496563,51209,5.633
Latvia,Riga,1886198,33707320816,64559,6.213
Serbia,Belgrade,8737371,53335016425,88361,6.144
Mongolia,Ulan Bator,3278290,13312981595,1564110,5.84
Honduras,Tegucigalpa,9904607,23662231634,112492,6.023
Mexico,Mexico City,128932753,1.07E+12,1964375,6.33
Nepal,Kathmandu,29136808,33657175561,147181,5.36
Luxembourg,Luxembourg,625978,73353132794,2586,7.228
Uganda,Kampala,45741007,37600368181,241550,4.432
Cambodia,Phnom Penh,16718965,25808561551,181035,4.393
China,Beijing,1439323776,1.47E+13,9706961,5.818
Morocco,Rabat,36910560,1.15E+11,446550,4.903
Panama,Panama City,4314767,53977036995,75417,6.265
Georgia,Tbilisi,3989167,15846489611,69700,5.109
Hungary,Budapest,9660351,1.56E+11,93028,6.041
Uzbekistan,Tashkent,33469203,59929951114,447400,6.014
Thailand,Bangkok,69799978,5.02E+11,513120,5.843
Switzerland,Berne,8654622,7.52E+11,41284,7.24
Japan,Tokyo,126476461,5.06E+12,377930,6.129
Belgium,Brussels,11589623,5.22E+11,30528,6.859
Netherlands,Amsterdam,17134872,9.14E+11,41850,7.403
Brazil,Brasilia,212559417,1.44E+12,8515767,6.125
Ukraine,Kiev,43733762,1.55E+11,603500,5.071
Democratic Republic of the Congo,Kinshasa,89561403,48716960860,2344858,3.207
India,New Delhi,1380004385,2.66E+12,3287590,4.036
Dominican Republic,Santo Domingo,10847910,78844702329,48671,5.569
Moldova,Chisinau,4033963,11915547263,33846,5.819
Ivory Coast,Yamoussoukro,26378275,61348579465,322463,5.053
Mozambique,Maputo,31255435,14019446610,801590,4.954
Singapore,Singapur,5850342,3.40E+11,710,6.587
Malawi,Lilongwe,19129952,12182348213,118484,3.495
Tanzania,Dodoma,59734218,62409709111,945087,3.694
Argentina,Buenos Aires,45195774,3.89E+11,2780400,6.024
Poland,Warsaw,37846611,5.97E+11,312679,6.26
Sierra Leone,Freetown,7976983,4063289450,71740,3.138
Costa Rica,San Jose,5094118,61846895121,51100,6.609
Niger,Niamey,24206644,13741378450,1267000,4.501
Zambia,Lusaka,18383955,18110631358,752612,3.982
New Zealand,Wellington,4822233,2.11E+11,270467,7.123
Kazakhstan,Astana,18776707,1.71E+11,2724900,6.144
Peru,Lima,32971854,2.02E+11,1285216,5.526
Pakistan,Islamabad,220892340,2.63E+11,881912,4.555
Lebanon,Beirut,6825445,31735217785,10452,2.392
South Africa,Pretoria,59308690,3.35E+11,1221037,5.275
Italy,Rome,60461826,1.89E+12,301336,6.405
Norway,Oslo,5421241,3.62E+11,323802,7.315
Slovak Republic,Bratislava,5459642,1.05E+11,49037,6.469
Romania,Bucharest,19237691,2.49E+11,238391,6.589
Senegal,Dakar,16743927,24644234595,196722,4.855
Nigeria,Abuja,206139589,4.32E+11,923768,4.981
Bulgaria,Sofia,6948445,69889347433,110879,5.466
Burkina Faso,Ouagadougou,20903273,17933606353,272967,4.638
Tunisia,Tunis,11818619,41620349986,163610,4.497
Croatia,Zagreb,4105267,57203783203,56594,6.125
United Arab Emirates,Abu Dhabi,9890402,3.59E+11,83600,6.571
Turkey,Ankara,84339067,7.20E+11,783562,4.614
Austria,Vienna,9006398,4.33E+11,83871,7.097
Ireland,Dublin,4937786,4.26E+11,70273,6.911
Slovenia,Ljubljana,2078938,53589609581,20273,6.65
Estonia,Tallinn,1326535,30650285472,45227,6.455
Colombia,Bogota,50882891,2.71E+11,1141748,5.63
Ethiopia,Addis Ababa,114963588,1.08E+11,1104300,4.091
Mauritania,Nouakchott,4649658,7913680231,1030700,4.724
Namibia,Windhoek,2540905,10619194505,825615,4.631
Republic of the Congo,Brazzaville,5518087,10187122341,342000,5.267
Cameroon,Yaounde,26545863,40804449726,475442,4.973
Paraguay,Asuncion,7132538,35670301496,406752,5.738
South Korea,Seoul,51269185,1.64E+12,100210,5.951
Spain,Madrid,46754778,1.28E+12,505992,6.436
Uruguay,Montevideo,3473730,53628827440,181034,6.494
Saudi Arabia,Riyadh,34813871,7.00E+11,2149690,6.463
Bahrain,Manama,1701575,34729228723,765,6.173
Guatemala,Guatemala City,17915568,77604632171,108889,6.15
Zimbabwe,Harare,14862924,18051170799,390757,3.204
Ecuador,Quito,17643054,98808010000,276841,5.559
Russia,Moscow,145934462,1.48E+12,17098242,5.661
Guinea,Conakry,13132795,15681050917,245857,5.072
Botswana,Gaborone,2351627,15061922802,582000,3.435
Iceland,Reykjavik,341243,21718075725,103000,7.53
Jamaica,Kingston,2961167,13812425037,10991,5.703
Sweden,Stockholm,10099265,5.41E+11,450295,7.395
Iraq,Baghdad,40222493,1.67E+11,438317,4.941
Kyrgyz Republic,Bishkek,6524195,7735976273,199951,5.825
El Salvador,San Salvador,6486205,24638720000,21041,6.122
Malaysia,Kuala Lumpur,32365999,3.37E+11,330803,6.012
